Tipo de doc,Numero de identificacion,Codigo entidad,Tipo de usuario,Apellido,Apellido 2,Nombre,Nombre 2,Edad,Unidad de medida,Sexo del usuario,Departamento,Municipio,Zona
CC,1000000031,EPS017,1,LOZANO,CORTES,MICHAEL,JORDAN,21,1,M,11,1,U
CC,1000000032,EPS017,1,ROA,ABRIL,JOHN,ALEXANDER,22,1,M,11,1,U
CC,1000000033,EPS017,1,MANCERA,RAMIREZ,PAULA,JIMENA,22,1,F,11,1,U
CC,1000000034,EPS017,1,CORREDOR,MUÑOZ,LAURA,STEFANIA,20,1,F,11,1,U
CC,1000000035,EPS017,1,MARTINEZ,TORO,KEVIN,ALEXANDER,20,1,M,11,1,U
CC,1000000036,EPS017,1,GALINDO,MENDEZ,JESSY,NICOLE,20,1,F,11,1,U
CC,1000000037,EPS017,1,BENAVIDES,FONSECA,LAURA,DANIELA,19,1,F,11,1,U
CC,1000000038,EPS017,1,HERRERA,MORENO,NATHALIA,,20,1,F,11,1,U
CC,1000000039,EPS017,1,MATERON,MARTA,LAURA,VANESSA,20,1,F,11,1,U
CC,1000000040,EPS017,1,GONZALEZ,ESPEJO,SANDRA,HELENA,22,1,F,11,1,U
CC,1000000041,EPS017,1,ALDANA,TOBAR,MAICOL,DANIEL,23,1,M,11,1,U
CC,1000000042,EPS017,1,ROMERO,RIVERA,NATHALY,MARCELA,22,1,F,11,1,U
CC,1000000043,EPS017,1,ANZOLA,CLAVIJO,MARIA,VALENTINA,22,1,F,11,1,U
CC,1000000044,EPS017,1,VARGAS,MORA,NICOLLE,VIVIANA,21,1,F,11,1,U
CC,1000000045,EPS017,1,MALDONADO,ORTIZ,DANIEL,ANDRES,19,1,M,11,1,U
CC,1000000046,EPS017,1,VARGAS,CARDENAS,YERLI,VANESA,20,1,F,11,1,U
CC,1000000047,EPS017,1,ARIZA,HURTADO,JULIETH,,22,1,F,11,1,U
CC,1000000048,EPS017,1,GALVEZ,BAQUERO,KAROLL,MICHELLE,21,1,F,11,1,U
CC,1000000049,EPS017,1,PALOMINO,CAPERA,JERLY,CATALINA,21,1,F,11,1,U
CC,1000000050,EPS017,1,BUSTOS,CARDOZO,KATERINE,,19,1,F,11,1,U
CC,1000000051,EPS017,1,CARRON,RODRIGUEZ,BRAYAN,STEVEN,19,1,M,11,1,U
CC,1000000052,EPS017,1,ZAMBRANO,NARVAEZ,MARIA,LORENA,19,1,F,11,1,U
CC,1000000053,EPS017,1,CARVAJAL,CIFUENTES,JUAN,PABLO,19,1,M,11,1,U
CC,1000000054,EPS017,1,MUÑOZ,VALENCIA,LUISA,MARIA,20,1,F,11,1,U
